id,user_id,cryptocurrency,amount,transaction_type,status,timestamp
023f9b2e-1b9b-460d-9627-d75a13e73881,2034,USDT,937.83,Withdrawal,Completed,"2025-02-03 04:09:20"
07649056-3744-4394-8f8b-a7fe06bc0001,1152,USDT,1577.30,Withdrawal,Completed,"2025-01-26 14:09:55"
08cad674-abbf-445c-a254-0ef1cb9d63eb,3879,BTC,2852.17,Withdrawal,Completed,"2025-01-11 22:59:22"
094538ce-4c19-4853-b8d4-9bcef90c262d,2321,BTC,650.05,Deposit,Completed,"2025-02-02 12:34:54"
0b484c7b-2d16-4d06-90e8-97553ceb7050,1483,ETH,2233.00,Withdrawal,Completed,"2025-01-12 03:13:36"
0c4cbb64-29b2-4a43-bb21-1480834a432f,4442,USDT,608.20,Withdrawal,Completed,"2025-02-02 03:29:50"
0d26b24c-fc6b-415d-9637-01aa12e2ccd4,1956,USDT,1832.42,Deposit,Completed,"2025-01-14 17:05:58"
0d65e6c7-f31e-4cce-ad49-9f3f71f20549,3205,USDT,4704.54,Withdrawal,Pending,"2025-02-04 15:34:55"
1605b188-9654-4b13-ae8a-7a94152a7598,3556,USDT,4835.23,Withdrawal,Completed,"2025-01-16 04:02:21"
1a329917-5557-4722-9cc8-b713a7634a13,1300,ETH,3123.48,Withdrawal,Completed,"2025-01-16 18:25:43"
1d13b30c-62b5-4712-951a-f20b41db6f4f,3154,BNB,1400.67,Deposit,Duplicate,"2025-01-20 05:02:57"
1d1666e8-96db-444e-8fe4-1590f5efe5b7,3266,ETH,1843.14,Withdrawal,Completed,"2025-01-18 14:25:54"
1f788dfd-1277-4464-9c18-d45dec5da893,1295,BNB,562.41,Withdrawal,Completed,"2025-01-15 18:32:28"
1fa8ead0-a50e-4399-a481-98da0abc498b,1921,ETH,2380.32,Deposit,Completed,"2025-02-06 15:08:59"
21ab9744-b505-4dc3-948d-d473e6f66c26,3672,BNB,2443.15,Withdrawal,Completed,"2025-01-22 21:29:21"
299be886-4d7c-41cf-a2cd-431c9329a59b,4751,BTC,4595.00,Withdrawal,Completed,"2025-01-23 04:17:03"
2b9e8ffb-9668-425c-bbed-e0c028518f45,1095,BTC,1841.36,Deposit,Completed,"2025-01-24 01:48:27"
2dd1591d-3dc4-46e1-8b79-6c0d047223ba,2620,BTC,3984.43,Withdrawal,Completed,"2025-01-31 21:02:09"
364c895d-c945-46c1-badf-b8c60738804c,3371,USDT,732.40,Deposit,Reversed,"2025-02-05 00:58:14"
3990045a-4aa6-475c-a4bf-82244ec7c445,1276,USDT,1138.18,Deposit,Completed,"2025-01-18 19:26:10"
3998a3d3-98aa-4262-9261-7991a8c8d64c,1828,USDT,4294.18,Withdrawal,Completed,"2025-01-29 20:26:18"
39b5be3d-9332-4381-a915-b3ec9e5b0280,1047,ETH,2942.56,Deposit,Completed,"2025-02-05 22:38:36"
3f45c6d5-5681-43f7-8cf3-dabd0196669b,2861,BTC,1270.81,Withdrawal,Completed,"2025-02-02 23:50:24"
45379270-0db3-4543-ba36-cc81133d05d5,4473,USDT,1966.88,Withdrawal,Completed,"2025-02-02 14:14:54"
45b0b6cf-22fd-42d6-9221-66ddc816e326,1443,XRP,4304.36,Deposit,Completed,"2025-01-22 05:44:49"
4c152209-2838-4e6c-abea-116f2c552b36,4882,BNB,2819.95,Withdrawal,Completed,"2025-02-03 14:28:00"
4e31912c-e794-4f79-8b4b-65bc00fad956,3694,USDT,4540.56,Deposit,Reversed,"2025-01-15 02:22:30"
4f945fb0-2402-4e1c-8ab5-6e80df786687,4556,BNB,3811.08,Withdrawal,Failed,"2025-01-29 07:03:35"
509098c1-02e7-4d8f-ab9e-169d833ea81d,4909,USDT,4010.78,Withdrawal,Completed,"2025-01-27 13:21:44"
53e32551-6a09-4e8e-ba65-6cd9f8c00c52,4855,XRP,1357.91,Withdrawal,Completed,"2025-01-15 01:08:17"
547a3e9f-dbac-4a73-8512-8f9d86be0e4a,4858,ETH,4645.78,Withdrawal,Pending,"2025-02-08 03:31:01"
55328b61-d967-4049-96aa-f55d13b7fdbd,4742,BNB,4174.97,Deposit,Reversed,"2025-01-25 23:49:51"
55f34355-65e8-44fb-af47-bf01601045b4,4592,BTC,2784.26,Deposit,Completed,"2025-01-22 04:53:08"
56eb1271-4d50-4bf9-bd61-6e279bf22770,4770,BNB,1792.98,Deposit,Completed,"2025-02-05 01:01:07"
5ac1d282-f67f-44b2-953d-94693c38bad5,2715,BTC,1124.20,Deposit,Completed,"2025-01-30 20:16:02"
5e2eaa9b-1b90-4da2-b30d-5a323d672cec,1487,BTC,2933.48,Deposit,Completed,"2025-01-26 09:25:55"
60deacd3-6afa-4794-9af6-7810b944d51a,4758,BTC,3220.22,Deposit,Completed,"2025-01-24 02:39:53"
615541ab-9bb0-481c-b714-cb465df321ac,2776,BNB,201.74,Deposit,Completed,"2025-01-25 05:11:20"
685be0be-b2f3-4e1c-9f92-43c1f79535ca,3141,XRP,3987.99,Withdrawal,Completed,"2025-01-20 12:22:15"
693e7fe0-f9f5-4166-806b-5d204978193b,2887,XRP,4809.68,Deposit,Completed,"2025-01-27 15:11:44"
69914b23-4e4e-4183-97e7-67d539ab7cb7,1381,ETH,1199.57,Deposit,Completed,"2025-01-25 13:25:59"
6d56f83b-e6b2-4bf4-9678-278469c6e154,3464,ETH,4685.08,Withdrawal,Pending,"2025-01-16 08:28:29"
71fa5677-40c4-44d8-8e71-f7a1e4d0f22d,3341,XRP,4421.71,Withdrawal,Completed,"2025-01-28 00:52:01"
74c645db-aedb-4660-a1e7-76692ce586a4,3040,ETH,155.25,Withdrawal,Completed,"2025-01-16 23:24:23"
787e0cee-0d1f-4746-b5b1-3ac3f9e2fdf0,4546,BNB,997.65,Deposit,Completed,"2025-02-03 11:42:01"
794e1f96-2275-48d0-b03c-e078c55c08e0,2559,XRP,1013.76,Withdrawal,Completed,"2025-02-07 04:22:01"
79509751-fabc-4baf-87a3-e89ddabe891d,1552,XRP,2554.78,Deposit,Duplicate,"2025-01-15 05:38:23"
7c696fcb-5da1-4797-9b4f-7592dfbd11f6,4829,ETH,2731.47,Withdrawal,Completed,"2025-02-05 03:04:26"
8388505a-ea32-4913-bd9a-16d795926ea9,2650,XRP,2026.19,Deposit,Completed,"2025-01-12 16:11:14"
890ab9a6-a690-4012-b568-3aa2b369b0b5,4125,ETH,2284.22,Withdrawal,Completed,"2025-01-29 23:42:16"
8982cd18-e605-45b0-b2ec-4e8b2802005b,3667,ETH,4320.17,Withdrawal,Completed,"2025-01-18 03:01:29"
898302db-c295-483f-8c1f-aba375faac71,1476,BTC,1653.17,Deposit,Completed,"2025-01-28 13:24:31"
8db570c5-6961-4d33-911f-07f71e10e037,3352,XRP,3497.91,Withdrawal,Failed,"2025-01-19 17:58:49"
95755881-9364-4edd-a688-6d97c213a2a9,1121,USDT,2608.41,Withdrawal,Completed,"2025-01-18 20:56:46"
962cb798-10e1-4243-b7ef-1b97289170f1,1205,ETH,4100.98,Deposit,Completed,"2025-01-30 05:51:07"
96b2efa9-b31e-4150-8cc8-23ca1af4c5cc,3878,USDT,3481.91,Deposit,Completed,"2025-01-30 07:44:12"
a067cc09-dc99-43b5-8328-a751e8fda687,2872,BNB,1932.27,Withdrawal,Completed,"2025-01-19 00:39:18"
a1260959-2c9f-4d9e-96a6-949df5c253e9,3496,ETH,172.18,Deposit,Completed,"2025-01-11 08:14:15"
a318b784-05b1-45b2-b42b-0aa701eeedbf,2419,XRP,2703.59,Deposit,Pending,"2025-01-30 15:47:15"
a31ee7d8-86c1-4331-aa4c-202b340224ed,2045,BNB,1595.99,Deposit,Reversed,"2025-02-05 05:51:30"
a6dd82d3-e8aa-473d-8b0b-4f20989ab64c,3718,BNB,1150.53,Withdrawal,Completed,"2025-01-11 22:06:40"
a6f3a08f-3a53-46ee-a3ea-c3128688bcf5,1518,BNB,3856.51,Withdrawal,Completed,"2025-01-30 10:04:35"
a896f02c-bf1d-4a77-a7a1-936b560d4131,4705,USDT,2936.35,Withdrawal,Completed,"2025-01-14 14:39:45"
a956c079-8afa-4329-be60-1ef5fa1f70f0,3437,BNB,2605.76,Deposit,Completed,"2025-01-21 23:06:53"
ab196998-2ebf-4636-ab7d-7a812ea700e0,4211,BTC,2879.18,Deposit,Pending,"2025-02-01 07:34:29"
ac76c0d4-88df-4230-98cc-6e0c3a93dddf,3884,XRP,1292.16,Deposit,Completed,"2025-02-05 14:57:26"
acf46b82-136c-48c3-bc58-25a71d841d3d,1077,BNB,151.66,Withdrawal,Completed,"2025-01-31 06:30:50"
aebb9555-44ae-4153-9734-56fcd9763d8a,3885,XRP,189.51,Withdrawal,Completed,"2025-01-23 03:27:57"
afab099f-d67e-4c20-a60e-aa25a0339341,3280,XRP,3386.23,Deposit,Completed,"2025-01-28 10:52:01"
b2dbc16d-fe31-4947-96a2-1eedfb0bf08e,1676,USDT,3380.36,Deposit,Completed,"2025-02-07 03:46:30"
b34ef5f8-bb14-48a6-84d7-84269a4f192d,1744,XRP,1916.34,Deposit,Completed,"2025-01-20 11:37:26"
b37aafca-c6a3-4447-897d-e8faa9045f73,2510,BTC,2662.78,Deposit,Completed,"2025-01-27 04:38:18"
b484621c-32c2-424f-9b58-126e348fc4ef,1041,ETH,329.47,Deposit,Completed,"2025-01-23 23:11:17"
b7ab5a54-a527-425e-804e-aadeddcd8fef,1007,XRP,4037.16,Withdrawal,Completed,"2025-02-06 22:30:32"
b8c5dfc1-e720-45c2-9f55-6e0ca1632ce6,2660,BTC,3517.81,Deposit,Completed,"2025-01-19 05:19:29"
c0c7084f-7bee-4dcd-ac5c-13a218eb9fd2,1232,ETH,2853.51,Withdrawal,Completed,"2025-01-26 10:33:46"
c1a8ba9a-5602-46a0-a3a5-ffb6265eaa41,4573,USDT,4734.15,Withdrawal,Pending,"2025-01-09 19:10:19"
c4806f23-b377-4f21-89d7-648e0f4dd27a,4479,ETH,4077.01,Deposit,Completed,"2025-01-15 14:42:34"
c6ba9341-95ca-4ea6-b98e-1a90848ecb33,1328,XRP,2951.32,Deposit,Pending,"2025-01-24 15:28:48"
c792f73f-a40e-4e1a-8b0d-239ec7da8dd0,4617,USDT,423.77,Deposit,Completed,"2025-01-17 03:46:03"
cc5badb7-857b-4f4e-8a53-2c4ddc0ab71c,3725,USDT,2435.41,Withdrawal,Completed,"2025-01-25 12:29:28"
cc9b22bb-24d4-47c9-b88a-fd262641217e,4249,XRP,4426.57,Deposit,Completed,"2025-01-30 05:26:33"
cd246e6f-f028-4380-8e3d-71a04faf0ef5,2474,ETH,4181.94,Deposit,Completed,"2025-02-04 18:34:17"
ce5e0b2e-3aa9-4251-ae49-755d0dc0c5e3,3020,BNB,3648.25,Deposit,Completed,"2025-02-02 12:23:25"
d3c1aae2-87ac-4e48-8eeb-8934be912eaf,3309,USDT,3704.82,Deposit,Completed,"2025-01-28 07:44:07"
d6e477c2-2664-4b97-b33c-39db940680a1,3489,ETH,32.37,Deposit,Completed,"2025-02-05 23:55:06"
dba4b7b3-daf2-4a63-8002-39b74be21c06,4546,BNB,2285.03,Withdrawal,Completed,"2025-01-26 14:23:19"
dbd75158-ddcc-44eb-ae86-763a43b24740,1379,BNB,3066.35,Deposit,Completed,"2025-01-19 23:36:34"
dbe1515b-9c4c-419a-9dc2-a46dcd57a719,3201,ETH,2605.05,Deposit,Completed,"2025-02-02 23:13:25"
dc63c985-607a-4735-aeca-9df10cda91ee,4379,BTC,3176.75,Withdrawal,Completed,"2025-01-18 14:50:10"
dec842ef-c952-498a-aa2b-a8a633c335c4,4922,BTC,2673.66,Withdrawal,Pending,"2025-01-18 18:38:55"
dfb5aac9-f072-4476-aac0-dccd0763f1ba,3661,ETH,4383.38,Deposit,Completed,"2025-02-03 15:27:49"
e3a7f359-a4df-49d1-9cf6-d922c4d626ab,3507,XRP,4283.52,Deposit,Pending,"2025-02-06 22:28:15"
ec28498c-b62f-4770-840e-318055832b7c,2796,USDT,2351.73,Withdrawal,Completed,"2025-01-21 17:43:58"
f2ce3557-0ac4-4d46-bf73-83a3bf674447,3978,BTC,1924.38,Deposit,Completed,"2025-02-02 13:46:12"
f6365a79-8858-4dc7-9ffa-8231a8c97698,1648,BNB,468.08,Deposit,Duplicate,"2025-01-17 07:30:33"
f7b71a69-f7cc-4b9b-b6d1-15a2c86a84fe,3536,USDT,3631.62,Withdrawal,Completed,"2025-02-02 04:54:32"
fb5af4cb-7553-4a45-b8af-4ae5e35eba5e,4245,BTC,1578.88,Withdrawal,Pending,"2025-01-23 14:44:38"
fd049375-67f1-48c4-b45a-a86adc1a774e,4711,ETH,4749.21,Withdrawal,Completed,"2025-02-04 22:54:42"
ffef07b0-d72a-4b91-8a7f-0f27f3f123a5,2906,BTC,2607.83,Deposit,Pending,"2025-01-22 19:35:50"
